11/01/2020 21:30,AiG Performance of Mfg Index,MEDIUM,AUD
11/01/2020 21:45,Building Permits s.a. (MoM),MEDIUM,NZD
11/01/2020 22:00,Commonwealth Bank Manufacturing PMI,MEDIUM,AUD
11/02/2020 00:00,TD Securities Inflation (YoY),MEDIUM,AUD
11/02/2020 00:00,TD Securities Inflation (MoM),MEDIUM,AUD
11/02/2020 00:30,Building Permits (MoM),MEDIUM,AUD
11/02/2020 08:15,Markit Manufacturing PMI,MEDIUM,EUR
11/02/2020 08:45,Markit Manufacturing PMI,MEDIUM,EUR
11/02/2020 08:55,Markit Manufacturing PMI,MEDIUM,EUR
11/02/2020 09:30,Markit Manufacturing PMI,MEDIUM,GBP
11/02/2020 14:30,Markit Manufacturing PMI,MEDIUM,CAD
11/02/2020 14:45,Markit Manufacturing PMI,MEDIUM,USD
11/02/2020 15:00,ISM Manufacturing Employment Index,MEDIUM,USD
11/02/2020 15:00,ISM Manufacturing PMI,HIGH,USD
11/02/2020 15:00,ISM Manufacturing Prices Paid,MEDIUM,USD
11/02/2020 15:00,ISM Manufacturing New Orders Index,MEDIUM,USD
11/03/2020 00:00,Eurogroup Meeting,MEDIUM,EUR
11/03/2020 03:30,RBA Interest Rate Decision,HIGH,AUD
11/03/2020 03:30,RBA Rate Statement,HIGH,AUD
11/03/2020 07:30,Consumer Price Index (YoY),MEDIUM,CHF
11/03/2020 13:00,Presidential Election,HIGH,USD
11/03/2020 15:00,Factory Orders (MoM),MEDIUM,USD
11/03/2020 15:20,GDT Price Index,MEDIUM,NZD
11/03/2020 21:30,AiG Performance of Construction Index,MEDIUM,AUD
11/03/2020 21:45,Participation Rate,MEDIUM,NZD
11/03/2020 21:45,Labour Cost Index (QoQ),MEDIUM,NZD
11/03/2020 21:45,Employment Change,HIGH,NZD
11/03/2020 21:45,Unemployment Rate,HIGH,NZD
11/03/2020 22:00,Commonwealth Bank Services PMI,MEDIUM,AUD
11/03/2020 23:50,BoJ Monetary Policy Meeting Minutes,HIGH,JPY
11/04/2020 00:30,Retail Sales s.a. (MoM),HIGH,AUD
11/04/2020 07:00,EcoFin Meeting,MEDIUM,EUR
11/04/2020 08:15,Markit Services PMI,MEDIUM,EUR
11/04/2020 08:45,Markit Services PMI,MEDIUM,EUR
11/04/2020 08:55,Markit PMI Composite,MEDIUM,EUR
11/04/2020 09:00,Markit PMI Composite,MEDIUM,EUR
11/04/2020 10:00,European Commission releases Economic Growth Forecasts,MEDIUM,EUR
11/04/2020 13:15,ADP Employment Change,HIGH,USD
11/04/2020 13:30,Trade Balance,MEDIUM,USD
11/04/2020 14:45,Markit Services PMI,MEDIUM,USD
11/04/2020 14:45,Markit PMI Composite,MEDIUM,USD
11/04/2020 15:00,ISM Services New Orders Index,MEDIUM,USD
11/04/2020 15:00,ISM Services PMI,HIGH,USD
11/04/2020 15:00,ISM Services Employment Index,MEDIUM,USD
11/04/2020 15:00,ISM Services Prices Paid,MEDIUM,USD
11/05/2020 00:30,Imports (MoM),MEDIUM,AUD
11/05/2020 00:30,Exports (MoM),MEDIUM,AUD
11/05/2020 00:30,Trade Balance (MoM),HIGH,AUD
11/05/2020 06:00,Factory Orders s.a. (MoM),MEDIUM,EUR
11/05/2020 10:00,Retail Sales (YoY),HIGH,EUR
11/05/2020 10:00,Retail Sales (MoM),MEDIUM,EUR
11/05/2020 12:00,Bank of England Monetary Policy Report,HIGH,GBP
11/05/2020 12:00,BoE MPC Vote Unchanged,HIGH,GBP
11/05/2020 12:00,BoE Asset Purchase Facility,HIGH,GBP
11/05/2020 12:00,Monetary Policy Summary,HIGH,GBP
11/05/2020 12:00,BoE MPC Vote Cut,HIGH,GBP
11/05/2020 12:00,Bank of England Minutes,HIGH,GBP
11/05/2020 12:00,BoE MPC Vote Hike,HIGH,GBP
11/05/2020 12:00,BoE Interest Rate Decision,HIGH,GBP
11/05/2020 12:30,BoE's Governor Bailey speech,HIGH,GBP
11/05/2020 13:30,Continuing Jobless Claims,MEDIUM,USD
11/05/2020 13:30,Nonfarm Productivity,MEDIUM,USD
11/05/2020 13:30,Initial Jobless Claims,MEDIUM,USD
11/05/2020 13:30,Unit Labor Costs,MEDIUM,USD
11/05/2020 13:30,Initial Jobless Claims 4-week average,MEDIUM,USD
11/05/2020 15:00,German Buba President Weidmann speech,MEDIUM,EUR
11/05/2020 15:00,SNB's Maechler speech,MEDIUM,CHF
11/05/2020 19:00,Fed Interest Rate Decision,HIGH,USD
11/05/2020 19:00,Fed's Monetary Policy Statement,HIGH,USD
11/05/2020 19:30,FOMC Press Conference,HIGH,USD
11/05/2020 23:30,Overall Household Spending (YoY),MEDIUM,JPY
11/06/2020 00:30,RBA Monetary Policy Statement,HIGH,AUD
11/06/2020 02:00,RBNZ Inflation Expectations (QoQ),MEDIUM,NZD
11/06/2020 07:00,Industrial Production s.a. (MoM),MEDIUM,EUR
11/06/2020 13:30,Nonfarm Payrolls,HIGH,USD
11/06/2020 13:30,Average Hourly Earnings (YoY),MEDIUM,USD
11/06/2020 13:30,Labor Force Participation Rate,MEDIUM,USD
11/06/2020 13:30,Average Hourly Earnings (MoM),MEDIUM,USD
11/06/2020 13:30,U6 Underemployment Rate,MEDIUM,USD
11/06/2020 13:30,Unemployment Rate,MEDIUM,USD
11/06/2020 13:30,Unemployment Rate,HIGH,CAD
11/06/2020 13:30,Participation Rate,MEDIUM,CAD
11/06/2020 13:30,Average Hourly Wages (YoY),MEDIUM,CAD
11/06/2020 13:30,Net Change in Employment,HIGH,CAD
11/06/2020 14:00,BoC's Governor Macklem speech,HIGH,CAD
11/06/2020 14:00,BoC's Schembri speech,MEDIUM,CAD
11/06/2020 15:00,Ivey Purchasing Managers Index s.a,MEDIUM,CAD
11/06/2020 15:00,Ivey Purchasing Managers Index,MEDIUM,CAD
11/09/2020 05:00,Leading Economic Index,MEDIUM,JPY
11/09/2020 06:45,Unemployment Rate s.a (MoM),MEDIUM,CHF
11/09/2020 07:00,Trade Balance s.a.,MEDIUM,EUR
11/09/2020 23:01,BRC Like-For-Like Retail Sales (YoY),MEDIUM,GBP
11/09/2020 23:50,Current Account n.s.a.,MEDIUM,JPY
11/10/2020 07:00,Claimant Count Rate,MEDIUM,GBP
